combo,P3,P6,P7,P8,P9,P10,P13,P16
ABCDEFGH,A,F,C,H,E,B,G,D
ABCDEFGI,A,F,C,I,E,B,G,D
ABCDEFGJ,A,F,C,J,E,B,G,D
ABCDEFGK,A,F,C,K,E,B,G,D
ABCDEFGL,A,F,C,E,L,B,G,D
ABCDEFHI,A,F,C,E,H,B,I,D
ABCDEFHJ,A,F,C,E,H,B,J,D
ABCDEFHK,A,F,C,E,H,B,K,D
ABCDEFHL,A,F,C,E,H,B,L,D
ABCDEFIJ,A,F,C,E,I,B,J,D
ABCDEFIK,A,F,C,E,I,B,K,D
ABCDEFIL,A,F,C,E,I,B,L,D
ABCDEFJK,A,F,C,E,J,B,K,D
ABCDEFJL,A,F,C,E,J,B,L,D
ABCDEFKL,A,F,C,E,K,B,L,D
ABCDEGHI,A,D,C,H,E,B,G,I
ABCDEGHJ,A,D,C,H,E,B,G,J
ABCDEGHK,A,G,C,H,E,B,K,D
ABCDEGHL,A,D,C,E,H,B,G,L
ABCDEGIJ,A,D,C,I,E,B,G,J
ABCDEGIK,A,D,C,K,E,B,G,I
ABCDEGIL,A,D,C,E,I,B,G,L
ABCDEGJK,A,G,C,J,E,B,K,D
ABCDEGJL,A,D,C,E,J,B,G,L
ABCDEGKL,A,G,C,E,K,B,L,D
ABCDEHIJ,A,D,C,H,I,B,E,J
ABCDEHIK,A,D,C,H,K,B,E,I
ABCDEHIL,A,D,C,E,H,B,I,L
ABCDEHJK,A,H,C,E,J,B,K,D
ABCDEHJL,A,D,C,E,H,B,J,L
ABCDEHKL,A,H,C,E,K,B,L,D
ABCDEIJK,A,D,C,J,K,B,E,I
ABCDEIJL,A,D,C,E,J,B,I,L
ABCDEIKL,A,D,C,E,K,B,I,L
ABCDEJKL,A,C,K,E,J,B,L,D
ABCDFGHI,D,F,C,H,A,B,G,I
ABCDFGHJ,D,F,C,H,A,B,G,J
ABCDFGHK,F,G,C,H,A,B,K,D
ABCDFGHL,D,F,C,H,A,B,G,L
ABCDFGIJ,D,F,C,I,A,B,G,J
ABCDFGIK,K,F,C,I,A,B,G,D
ABCDFGIL,D,F,C,I,A,B,G,L
ABCDFGJK,F,G,C,J,A,B,K,D
ABCDFGJL,D,F,C,J,A,B,G,L
ABCDFGKL,D,F,C,K,A,B,G,L
ABCDFHIJ,A,F,C,H,I,B,J,D
ABCDFHIK,A,F,C,H,I,B,K,D
ABCDFHIL,A,F,C,H,I,B,L,D
ABCDFHJK,A,F,C,H,J,B,K,D
ABCDFHJL,A,F,C,H,J,B,L,D
ABCDFHKL,A,F,C,H,K,B,L,D
ABCDFIJK,A,F,C,I,J,B,K,D
ABCDFIJL,A,F,C,I,J,B,L,D
ABCDFIKL,A,F,C,I,K,B,L,D
ABCDFJKL,A,F,C,J,K,B,L,D
ABCDGHIJ,B,D,C,H,A,I,G,J
ABCDGHIK,B,D,C,H,A,K,G,I
ABCDGHIL,B,D,C,H,A,I,G,L
ABCDGHJK,K,G,C,H,A,B,J,D
ABCDGHJL,D,G,C,H,A,B,J,L
ABCDGHKL,K,G,C,H,A,B,L,D
ABCDGIJK,B,D,C,J,A,K,G,I
ABCDGIJL,B,D,C,I,A,J,G,L
ABCDGIKL,B,D,C,I,A,K,G,L
ABCDGJKL,K,G,C,J,A,B,L,D
ABCDHIJK,A,D,C,H,K,B,I,J
ABCDHIJL,A,D,C,H,J,B,I,L
ABCDHIKL,A,D,C,H,K,B,I,L
